symptom1,symptom2,symptom3,symptom4,OTC Medicine
Common cold,Dry cough,Runny nose,Headache,Cold-EEZE
Hangover,Toothache,Dry cough,Muscle pain,Guaifenesin
Acid reflux,Muscle pain,Hay fever,Heartburn,Proton Pump Inhibitor (Omeprazole)
Heartburn,Runny nose,Diarrhea,Insomnia,Antacid (Rolaids)
Dry cough,Fever,Insomnia,Dizziness,Dimenhydrinate
Runny nose,Nausea,Menstrual cramps,Dizziness,Paracetamol
Dry cough,Hay fever,Runny nose,Insomnia,Diphenhydramine
Allergic rash,Runny nose,Dry cough,Sinus pressure,Calamine lotion
Insomnia,Toothache,Cough,Hangover,Ginger supplements
Acid reflux,Insomnia,Diarrhea,Nausea,Lavender oil
Menstrual cramps,Hangover,Dry cough,Runny nose,Dextromethorphan
Sinus pressure,Diarrhea,Acid reflux,Nausea,Ibuprofen
Fever,Dry skin,Dry cough,Sinus pressure,Cold-EEZE
Allergic rash,Runny nose,Nausea,Common cold,Guaifenesin
Dizziness,Toothache,Menstrual cramps,Insomnia,Orajel
Insomnia,Toothache,Allergic rash,Hay fever,Valerian root
Dry skin,Common cold,Hangover,Dizziness,Dimenhydrinate
Common cold,Hangover,Hay fever,Cough,Paracetamol
Hangover,Dizziness,Cough,Fever,Cold-EEZE
Sinus pressure,Cough,Acid reflux,Toothache,Guaifenesin
Dizziness,Diarrhea,Dry skin,Hangover,Bismuth subsalicylate
Allergic rash,Diarrhea,Runny nose,Headache,Loratadine
Menstrual cramps,Nausea,Hay fever,Insomnia,Loratadine
Nausea,Dizziness,Cough,Dry cough,Cold-EEZE
Headache,Cough,Dizziness,Acid reflux,Pseudoephedrine
Nausea,Fever,Dizziness,Cough,Paracetamol
Headache,Nausea,Dry skin,Hay fever,Cold-EEZE
Insomnia,Common cold,Diarrhea,Acid reflux,Lavender oil
Dry cough,Heartburn,Runny nose,Fever,Bismuth subsalicylate
Allergic rash,Dry cough,Runny nose,Diarrhea,Antihistamine (Claritin)
Headache,Fever,Dizziness,Muscle pain,Cold-EEZE
Allergic rash,Menstrual cramps,Sinus pressure,Hay fever,Heating pad
Common cold,Diarrhea,Dry skin,Sinus pressure,Probiotic
Common cold,Dizziness,Cough,Headache,Cold-EEZE
Toothache,Menstrual cramps,Headache,Muscle pain,Paracetamol
Allergic rash,Insomnia,Hay fever,Muscle pain,Cold-EEZE
Dry skin,Cough,Fever,Heartburn,Dextromethorphan
Hangover,Dizziness,Cough,Hay fever,Aspirin
Sinus pressure,Diarrhea,Common cold,Heartburn,Probiotic
Heartburn,Acid reflux,Headache,Dry cough,Proton Pump Inhibitor (Omeprazole)
Diarrhea,Common cold,Dizziness,Dry skin,Ginkgo biloba
Hay fever,Cough,Hangover,Insomnia,Loratadine
Diarrhea,Muscle pain,Fever,Sinus pressure,Electrolyte solution (Pedialyte)
Fever,Nausea,Allergic rash,Acid reflux,Paracetamol
Allergic rash,Headache,Heartburn,Muscle pain,Paracetamol
Fever,Menstrual cramps,Sinus pressure,Runny nose,Ibuprofen
Cough,Heartburn,Insomnia,Fever,Electrolyte solution (Pedialyte)
Hay fever,Dry cough,Toothache,Heartburn,Antacid (Rolaids)
Acid reflux,Hay fever,Dry cough,Cough,Antihistamine (Benadryl)
Runny nose,Insomnia,Hangover,Dizziness,Lavender oil
Heartburn,Toothache,Headache,Runny nose,Paracetamol
Allergic rash,Cough,Fever,Heartburn,Calamine lotion
Dry cough,Runny nose,Sinus pressure,Heartburn,Antacid (Tums)
Fever,Muscle pain,Runny nose,Common cold,Nasal spray (Flonase)
Allergic rash,Insomnia,Runny nose,Acid reflux,Proton Pump Inhibitor (Omeprazole)
Sinus pressure,Dry skin,Dizziness,Acid reflux,Ginkgo biloba
Hay fever,Insomnia,Cough,Acid reflux,Dextromethorphan
Insomnia,Fever,Dizziness,Dry skin,Ginger supplements
Dry skin,Nausea,Diarrhea,Menstrual cramps,Probiotic
Dry cough,Fever,Common cold,Diarrhea,Bismuth subsalicylate
Common cold,Runny nose,Dry skin,Nausea,Ginger supplements
Sinus pressure,Runny nose,Dizziness,Diarrhea,Ginkgo biloba
Heartburn,Dry cough,Insomnia,Common cold,Antacid (Rolaids)
Dry skin,Allergic rash,Dry cough,Muscle pain,Petroleum jelly
Allergic rash,Dry skin,Dizziness,Common cold,Aloe vera gel
Toothache,Cough,Dry skin,Hangover,Cold-EEZE
Toothache,Cough,Diarrhea,Menstrual cramps,Dextromethorphan
Dry cough,Headache,Toothache,Muscle pain,Dextromethorphan
Allergic rash,Runny nose,Menstrual cramps,Cough,Calamine lotion
Dry skin,Sinus pressure,Menstrual cramps,Hangover,Saline nasal spray
Cough,Acid reflux,Dry cough,Muscle pain,Ibuprofen
Dry skin,Diarrhea,Sinus pressure,Hay fever,Loratadine
Heartburn,Nausea,Allergic rash,Fever,Ibuprofen
Nausea,Hay fever,Headache,Muscle pain,Electrolyte solution (Pedialyte)
Dry skin,Fever,Hangover,Muscle pain,Moisturizing lotion
Dry cough,Common cold,Muscle pain,Allergic rash,Calamine lotion
Headache,Menstrual cramps,Sinus pressure,Fever,Cold-EEZE
Cough,Hay fever,Fever,Diarrhea,Dextromethorphan
Cough,Dry skin,Diarrhea,Nausea,Ginger supplements
Headache,Allergic rash,Dry skin,Hangover,Ibuprofen
Common cold,Cough,Toothache,Diarrhea,Loperamide
Headache,Menstrual cramps,Fever,Hay fever,Cold-EEZE
Toothache,Headache,Dry skin,Diarrhea,Petroleum jelly
Nausea,Toothache,Allergic rash,Dizziness,Aspirin
Acid reflux,Common cold,Toothache,Hay fever,Guaifenesin
Common cold,Hangover,Insomnia,Hay fever,Ibuprofen
Dry cough,Hay fever,Insomnia,Sinus pressure,Diphenhydramine
Dizziness,Menstrual cramps,Hangover,Allergic rash,Aspirin
Headache,Acid reflux,Hay fever,Common cold,Proton Pump Inhibitor (Omeprazole)
Allergic rash,Heartburn,Dry cough,Acid reflux,Dextromethorphan
Insomnia,Dry cough,Hangover,Headache,Paracetamol
Heartburn,Dizziness,Insomnia,Cough,Valerian root
Muscle pain,Cough,Insomnia,Dry cough,Pseudoephedrine
Dizziness,Dry skin,Menstrual cramps,Muscle pain,Aspirin
Hangover,Cough,Sinus pressure,Heartburn,Ibuprofen
Fever,Hangover,Allergic rash,Acid reflux,Proton Pump Inhibitor (Omeprazole)
Toothache,Heartburn,Dry cough,Allergic rash,Hydrocortisone cream
Acid reflux,Toothache,Menstrual cramps,Dry cough,Bismuth subsalicylate
Hay fever,Cough,Insomnia,Toothache,Antihistamine (Claritin)
Acid reflux,Menstrual cramps,Sinus pressure,Hangover,Electrolyte solution (Pedialyte)
Allergic rash,Sinus pressure,Dry cough,Hangover,Dextromethorphan
Sinus pressure,Cough,Muscle pain,Diarrhea,Aspirin
Dry cough,Allergic rash,Diarrhea,Hay fever,Calamine lotion
Muscle pain,Cough,Hay fever,Menstrual cramps,Loratadine
Cough,Heartburn,Hangover,Hay fever,Dextromethorphan
Cough,Common cold,Dry skin,Diarrhea,Ibuprofen
Dry skin,Common cold,Runny nose,Hay fever,Antihistamine (Benadryl)
Diarrhea,Dry skin,Hay fever,Heartburn,Aloe vera gel
Hay fever,Menstrual cramps,Sinus pressure,Dizziness,Antihistamine (Claritin)
Toothache,Fever,Nausea,Insomnia,Ginger supplements
Menstrual cramps,Toothache,Allergic rash,Headache,Orajel
Acid reflux,Nausea,Cough,Allergic rash,Calamine lotion
Headache,Dizziness,Insomnia,Sinus pressure,Melatonin
Cough,Headache,Nausea,Hangover,Electrolyte solution (Pedialyte)
Allergic rash,Fever,Muscle pain,Dizziness,Aspirin
Heartburn,Muscle pain,Sinus pressure,Insomnia,Ibuprofen
Dizziness,Nausea,Toothache,Headache,Aspirin
Dry skin,Diarrhea,Common cold,Hangover,Moisturizing lotion
Common cold,Toothache,Nausea,Dry skin,Hydrocortisone cream
Hangover,Toothache,Acid reflux,Fever,Ibuprofen
Nausea,Dry cough,Heartburn,Sinus pressure,Antacid (Tums)
Dry cough,Diarrhea,Menstrual cramps,Toothache,Ibuprofen
Runny nose,Muscle pain,Dry skin,Toothache,Petroleum jelly
Dizziness,Hangover,Insomnia,Heartburn,Antacid (Rolaids)
Diarrhea,Runny nose,Dizziness,Heartburn,Antacid (Rolaids)
Allergic rash,Hangover,Runny nose,Toothache,Pseudoephedrine
Diarrhea,Nausea,Hay fever,Cough,Bismuth subsalicylate
Hangover,Toothache,Dizziness,Cough,Cold-EEZE
Toothache,Nausea,Allergic rash,Muscle pain,Hydrocortisone cream
Common cold,Dizziness,Sinus pressure,Diarrhea,Probiotic
Fever,Headache,Muscle pain,Acid reflux,Cold-EEZE
Hangover,Toothache,Fever,Menstrual cramps,Heating pad
Acid reflux,Muscle pain,Nausea,Headache,Electrolyte solution (Pedialyte)
Toothache,Nausea,Allergic rash,Common cold,Dimenhydrinate
Acid reflux,Toothache,Runny nose,Heartburn,Paracetamol
Fever,Dry cough,Insomnia,Cough,Electrolyte solution (Pedialyte)
Common cold,Hay fever,Runny nose,Hangover,Loratadine
Hay fever,Dry cough,Hangover,Toothache,Honey
Muscle pain,Dry cough,Hay fever,Acid reflux,Antihistamine (Benadryl)
Dizziness,Headache,Hay fever,Dry cough,Electrolyte solution (Pedialyte)
Dizziness,Hangover,Dry skin,Common cold,Electrolyte solution (Pedialyte)
Sinus pressure,Hay fever,Dizziness,Allergic rash,Dimenhydrinate
Sinus pressure,Nausea,Cough,Hay fever,Antihistamine (Benadryl)
Nausea,Acid reflux,Dizziness,Hay fever,Ginger supplements
Allergic rash,Dizziness,Fever,Insomnia,Melatonin
Common cold,Heartburn,Hay fever,Insomnia,Ibuprofen
Runny nose,Nausea,Menstrual cramps,Dry skin,Loratadine
Hangover,Dry skin,Dry cough,Dizziness,Dimenhydrinate
Hay fever,Cough,Dry skin,Fever,Antihistamine (Claritin)
Insomnia,Hay fever,Runny nose,Dry skin,Moisturizing lotion
Headache,Hangover,Runny nose,Common cold,Loratadine
Hay fever,Hangover,Toothache,Sinus pressure,Antihistamine (Benadryl)
Heartburn,Diarrhea,Cough,Insomnia,Bismuth subsalicylate
Cough,Dizziness,Hangover,Hay fever,Ginkgo biloba
Menstrual cramps,Sinus pressure,Runny nose,Fever,Ibuprofen
Dry cough,Headache,Hangover,Cough,Pseudoephedrine
Heartburn,Acid reflux,Diarrhea,Muscle pain,Loperamide
Dizziness,Hangover,Dry skin,Sinus pressure,Nasal spray (Flonase)
Dizziness,Fever,Sinus pressure,Headache,Pseudoephedrine
Hangover,Heartburn,Hay fever,Muscle pain,Ibuprofen
Dry skin,Dizziness,Allergic rash,Sinus pressure,Antihistamine (Claritin)
Fever,Muscle pain,Allergic rash,Hangover,Aspirin
Common cold,Hangover,Acid reflux,Hay fever,Proton Pump Inhibitor (Omeprazole)
Insomnia,Heartburn,Fever,Cough,Diphenhydramine
Dizziness,Nausea,Dry skin,Acid reflux,Electrolyte solution (Pedialyte)
Muscle pain,Menstrual cramps,Fever,Sinus pressure,Nasal spray (Flonase)
Allergic rash,Dry skin,Hangover,Sinus pressure,Aloe vera gel
Nausea,Heartburn,Hangover,Toothache,Loperamide
Dry skin,Heartburn,Muscle pain,Hangover,Petroleum jelly
Allergic rash,Headache,Acid reflux,Muscle pain,Ibuprofen
Dizziness,Menstrual cramps,Dry cough,Nausea,Heating pad
Nausea,Menstrual cramps,Muscle pain,Dry skin,Dimenhydrinate
Dry skin,Fever,Heartburn,Toothache,Antacid (Rolaids)
Toothache,Sinus pressure,Diarrhea,Menstrual cramps,Saline nasal spray
Dry skin,Cough,Hangover,Acid reflux,Antacid (Rolaids)
Headache,Dry skin,Diarrhea,Cough,Aspirin
Hay fever,Fever,Insomnia,Menstrual cramps,Electrolyte solution (Pedialyte)
Diarrhea,Dry skin,Dry cough,Cough,Pseudoephedrine
Fever,Dizziness,Hangover,Dry cough,Dextromethorphan
Allergic rash,Acid reflux,Common cold,Diarrhea,Cold-EEZE
Hangover,Dizziness,Nausea,Dry cough,Honey
Acid reflux,Muscle pain,Allergic rash,Sinus pressure,Antacid (Rolaids)
Nausea,Cough,Common cold,Dry cough,Electrolyte solution (Pedialyte)
Runny nose,Dry skin,Nausea,Diarrhea,Bismuth subsalicylate
Hay fever,Diarrhea,Common cold,Insomnia,Nasal spray (Flonase)
Hangover,Sinus pressure,Headache,Fever,Cold-EEZE
Dry skin,Hangover,Headache,Toothache,Orajel
Dry skin,Diarrhea,Muscle pain,Hangover,Cold-EEZE
Headache,Nausea,Fever,Sinus pressure,Cold-EEZE
Acid reflux,Toothache,Dizziness,Allergic rash,Antihistamine (Claritin)
Headache,Dizziness,Cough,Diarrhea,Ginkgo biloba
Cough,Hay fever,Nausea,Fever,Dimenhydrinate
Headache,Hay fever,Cough,Insomnia,Nasal spray (Flonase)
Menstrual cramps,Hay fever,Dry cough,Headache,Dextromethorphan
Hay fever,Heartburn,Muscle pain,Insomnia,Lavender oil
Toothache,Allergic rash,Runny nose,Diarrhea,Cold-EEZE
Dry cough,Menstrual cramps,Allergic rash,Runny nose,Aspirin
Dizziness,Dry cough,Fever,Diarrhea,Dextromethorphan
Muscle pain,Toothache,Menstrual cramps,Allergic rash,Hydrocortisone cream
Menstrual cramps,Allergic rash,Hangover,Nausea,Ginger supplements
Common cold,Nausea,Dry cough,Dry skin,Dimenhydrinate
Diarrhea,Dry cough,Common cold,Dry skin,Moisturizing lotion
Hangover,Fever,Hay fever,Heartburn,Antacid (Tums)
Cough,Dry skin,Heartburn,Hay fever,Proton Pump Inhibitor (Omeprazole)
Toothache,Acid reflux,Heartburn,Dry skin,Antacid (Rolaids)
Acid reflux,Dry cough,Hay fever,Toothache,Antacid (Tums)
Toothache,Common cold,Cough,Heartburn,Dextromethorphan
Sinus pressure,Hangover,Dizziness,Fever,Saline nasal spray
Heartburn,Runny nose,Dizziness,Hay fever,Ginger supplements
Toothache,Dry skin,Nausea,Muscle pain,Petroleum jelly
Sinus pressure,Nausea,Toothache,Menstrual cramps,Heating pad
Fever,Common cold,Diarrhea,Dizziness,Electrolyte solution (Pedialyte)
Runny nose,Toothache,Dizziness,Headache,Ginger supplements
Menstrual cramps,Sinus pressure,Cough,Common cold,Ibuprofen
Cough,Insomnia,Menstrual cramps,Dry cough,Lavender oil
Dry skin,Toothache,Acid reflux,Headache,Antacid (Rolaids)
Dizziness,Nausea,Fever,Sinus pressure,Loperamide
Insomnia,Heartburn,Common cold,Headache,Paracetamol
Dry cough,Hangover,Dizziness,Toothache,Orajel
Sinus pressure,Acid reflux,Heartburn,Fever,Antacid (Rolaids)
Muscle pain,Common cold,Runny nose,Cough,Aspirin
Toothache,Hangover,Menstrual cramps,Dry cough,Orajel
Allergic rash,Dizziness,Dry cough,Cough,Ginger supplements
Runny nose,Allergic rash,Dry cough,Insomnia,Antihistamine (Benadryl)
Allergic rash,Fever,Toothache,Sinus pressure,Antihistamine (Claritin)
Hay fever,Insomnia,Dry skin,Cough,Melatonin
Toothache,Dry skin,Hangover,Common cold,Ibuprofen
Nausea,Cough,Dizziness,Hangover,Cold-EEZE
Common cold,Cough,Nausea,Dry cough,Honey
Acid reflux,Dry cough,Runny nose,Hay fever,Loratadine
Runny nose,Allergic rash,Common cold,Dry cough,Antihistamine (Claritin)
Muscle pain,Toothache,Fever,Nausea,Aspirin
Dry skin,Nausea,Diarrhea,Dizziness,Petroleum jelly
Common cold,Muscle pain,Cough,Dry cough,Ibuprofen
Common cold,Acid reflux,Dry cough,Diarrhea,Electrolyte solution (Pedialyte)
Nausea,Dry cough,Heartburn,Dizziness,Loperamide
Headache,Menstrual cramps,Runny nose,Fever,Paracetamol
Headache,Nausea,Cough,Dizziness,Aspirin
Dizziness,Heartburn,Diarrhea,Dry skin,Petroleum jelly
Allergic rash,Fever,Insomnia,Sinus pressure,Diphenhydramine
Diarrhea,Dry cough,Nausea,Dizziness,Electrolyte solution (Pedialyte)
Insomnia,Fever,Sinus pressure,Heartburn,Antacid (Tums)
Menstrual cramps,Diarrhea,Nausea,Insomnia,Loperamide
Insomnia,Heartburn,Acid reflux,Muscle pain,Aspirin
Diarrhea,Insomnia,Acid reflux,Hay fever,Antacid (Tums)
Muscle pain,Diarrhea,Allergic rash,Dry skin,Aloe vera gel
Heartburn,Sinus pressure,Menstrual cramps,Headache,Paracetamol
Fever,Diarrhea,Headache,Hay fever,Bismuth subsalicylate
Headache,Runny nose,Heartburn,Fever,Loratadine
Cough,Fever,Dizziness,Hay fever,Pseudoephedrine
Headache,Sinus pressure,Hangover,Dry skin,Ibuprofen
Cough,Dizziness,Insomnia,Hay fever,Ginger supplements
Headache,Insomnia,Heartburn,Cough,Valerian root
Hay fever,Hangover,Headache,Dry skin,Ginger supplements
Menstrual cramps,Toothache,Common cold,Diarrhea,Heating pad
Diarrhea,Nausea,Runny nose,Hangover,Electrolyte solution (Pedialyte)
Acid reflux,Common cold,Diarrhea,Dizziness,Electrolyte solution (Pedialyte)
Sinus pressure,Headache,Toothache,Heartburn,Orajel
Runny nose,Cough,Fever,Insomnia,Nasal spray (Flonase)
Acid reflux,Menstrual cramps,Heartburn,Nausea,Heating pad
Toothache,Dizziness,Runny nose,Heartburn,Antacid (Rolaids)
Toothache,Headache,Acid reflux,Muscle pain,Paracetamol
Runny nose,Headache,Toothache,Hangover,Electrolyte solution (Pedialyte)
Toothache,Sinus pressure,Acid reflux,Runny nose,Nasal spray (Flonase)
Toothache,Diarrhea,Acid reflux,Dry cough,Electrolyte solution (Pedialyte)
Toothache,Diarrhea,Nausea,Hangover,Dimenhydrinate
Nausea,Cough,Insomnia,Menstrual cramps,Electrolyte solution (Pedialyte)
Dry skin,Dry cough,Muscle pain,Acid reflux,Aspirin
Fever,Headache,Muscle pain,Hay fever,Antihistamine (Claritin)
Menstrual cramps,Nausea,Toothache,Heartburn,Bismuth subsalicylate
Nausea,Heartburn,Fever,Diarrhea,Dimenhydrinate
Dry skin,Menstrual cramps,Allergic rash,Dry cough,Guaifenesin
Dry skin,Cough,Headache,Muscle pain,Pseudoephedrine
Hay fever,Fever,Allergic rash,Dizziness,Hydrocortisone cream
Muscle pain,Fever,Toothache,Acid reflux,Proton Pump Inhibitor (Omeprazole)
Acid reflux,Dizziness,Heartburn,Insomnia,Antacid (Tums)
Diarrhea,Hangover,Sinus pressure,Cough,Saline nasal spray
Muscle pain,Dry skin,Common cold,Headache,Petroleum jelly
Insomnia,Diarrhea,Allergic rash,Nausea,Lavender oil
Dry cough,Common cold,Runny nose,Muscle pain,Aspirin
Insomnia,Dizziness,Toothache,Fever,Orajel
Menstrual cramps,Headache,Sinus pressure,Allergic rash,Hydrocortisone cream
Nausea,Allergic rash,Cough,Headache,Cold-EEZE
Common cold,Headache,Diarrhea,Dry cough,Loperamide
Cough,Toothache,Diarrhea,Muscle pain,Ibuprofen
Cough,Diarrhea,Allergic rash,Acid reflux,Guaifenesin
Nausea,Cough,Dry skin,Heartburn,Hydrocortisone cream
Runny nose,Dry cough,Sinus pressure,Cough,Ibuprofen
Hay fever,Sinus pressure,Common cold,Hangover,Electrolyte solution (Pedialyte)
Nausea,Hay fever,Heartburn,Headache,Proton Pump Inhibitor (Omeprazole)
Insomnia,Fever,Muscle pain,Nausea,Cold-EEZE
Dry cough,Hangover,Common cold,Acid reflux,Ginger supplements
Diarrhea,Runny nose,Acid reflux,Dry cough,Pseudoephedrine
Heartburn,Allergic rash,Dizziness,Menstrual cramps,Heating pad
Dry skin,Dry cough,Runny nose,Cough,Guaifenesin
Hangover,Headache,Common cold,Sinus pressure,Pseudoephedrine
Allergic rash,Headache,Toothache,Sinus pressure,Paracetamol
Common cold,Acid reflux,Allergic rash,Dizziness,Paracetamol
Acid reflux,Cough,Dry skin,Fever,Pseudoephedrine
Headache,Diarrhea,Toothache,Hay fever,Probiotic
Muscle pain,Hay fever,Headache,Common cold,Antihistamine (Claritin)
Fever,Cough,Hay fever,Menstrual cramps,Ibuprofen
Diarrhea,Heartburn,Hangover,Toothache,Proton Pump Inhibitor (Omeprazole)
Runny nose,Cough,Nausea,Toothache,Paracetamol
Runny nose,Heartburn,Sinus pressure,Diarrhea,Probiotic
Insomnia,Dizziness,Acid reflux,Hay fever,Bismuth subsalicylate
Heartburn,Cough,Diarrhea,Hay fever,Antihistamine (Benadryl)
Allergic rash,Menstrual cramps,Heartburn,Fever,Bismuth subsalicylate
Nausea,Dry skin,Insomnia,Hangover,Petroleum jelly
Acid reflux,Sinus pressure,Runny nose,Dry cough,Antacid (Tums)
Insomnia,Nausea,Toothache,Common cold,Paracetamol
Common cold,Hay fever,Sinus pressure,Hangover,Electrolyte solution (Pedialyte)
Cough,Common cold,Hangover,Fever,Cold-EEZE
Nausea,Fever,Toothache,Hay fever,Orajel
Headache,Menstrual cramps,Acid reflux,Hay fever,Bismuth subsalicylate
Dizziness,Dry skin,Acid reflux,Insomnia,Ginger supplements
Acid reflux,Allergic rash,Fever,Dry skin,Moisturizing lotion
Common cold,Diarrhea,Hangover,Muscle pain,Ibuprofen
Headache,Muscle pain,Dizziness,Dry cough,Cold-EEZE
Hay fever,Headache,Cough,Common cold,Paracetamol
Dizziness,Toothache,Common cold,Dry skin,Paracetamol
Common cold,Fever,Hay fever,Hangover,Nasal spray (Flonase)
Insomnia,Heartburn,Headache,Menstrual cramps,Ibuprofen
Hangover,Acid reflux,Dizziness,Nausea,Proton Pump Inhibitor (Omeprazole)
Hay fever,Muscle pain,Menstrual cramps,Allergic rash,Aspirin
Nausea,Common cold,Insomnia,Hangover,Aspirin
Hangover,Hay fever,Diarrhea,Nausea,Paracetamol
Dry skin,Diarrhea,Sinus pressure,Menstrual cramps,Probiotic
Menstrual cramps,Runny nose,Cough,Dry skin,Heating pad
Dry cough,Insomnia,Acid reflux,Common cold,Paracetamol
Heartburn,Runny nose,Dry skin,Toothache,Antacid (Tums)
Toothache,Allergic rash,Nausea,Fever,Aspirin
Dizziness,Hay fever,Cough,Menstrual cramps,Ginkgo biloba
Hay fever,Muscle pain,Insomnia,Common cold,Guaifenesin
Fever,Dry skin,Allergic rash,Dizziness,Dimenhydrinate
Dry cough,Allergic rash,Headache,Hangover,Cold-EEZE
Diarrhea,Heartburn,Toothache,Cough,Loperamide
Hangover,Dry skin,Runny nose,Dry cough,Pseudoephedrine
Toothache,Common cold,Menstrual cramps,Nausea,Paracetamol
Muscle pain,Diarrhea,Menstrual cramps,Hay fever,Electrolyte solution (Pedialyte)
Acid reflux,Fever,Hay fever,Muscle pain,Loratadine
Menstrual cramps,Dry cough,Hay fever,Acid reflux,Heating pad
Acid reflux,Heartburn,Toothache,Menstrual cramps,Proton Pump Inhibitor (Omeprazole)
Acid reflux,Dry cough,Hay fever,Allergic rash,Antacid (Rolaids)
Cough,Dry cough,Hay fever,Diarrhea,Electrolyte solution (Pedialyte)
Menstrual cramps,Dry cough,Insomnia,Cough,Valerian root
Muscle pain,Heartburn,Dry skin,Dizziness,Paracetamol
Common cold,Fever,Headache,Hangover,Paracetamol
Allergic rash,Acid reflux,Dizziness,Headache,Proton Pump Inhibitor (Omeprazole)
Cough,Dry cough,Muscle pain,Fever,Cold-EEZE
Dizziness,Common cold,Insomnia,Toothache,Dimenhydrinate
Hay fever,Sinus pressure,Dizziness,Muscle pain,Saline nasal spray
Hay fever,Toothache,Acid reflux,Diarrhea,Proton Pump Inhibitor (Omeprazole)
Dry cough,Toothache,Dizziness,Insomnia,Melatonin
Dry skin,Menstrual cramps,Dry cough,Diarrhea,Bismuth subsalicylate
Insomnia,Common cold,Toothache,Allergic rash,Lavender oil
Common cold,Acid reflux,Muscle pain,Insomnia,Melatonin
Dry skin,Fever,Headache,Dizziness,Aloe vera gel
Muscle pain,Runny nose,Dry cough,Allergic rash,Ibuprofen
Hay fever,Muscle pain,Common cold,Runny nose,Pseudoephedrine
Diarrhea,Dizziness,Allergic rash,Sinus pressure,Bismuth subsalicylate
Acid reflux,Hangover,Heartburn,Headache,Antacid (Tums)
Fever,Insomnia,Toothache,Dry skin,Orajel
Cough,Dry skin,Hangover,Headache,Aloe vera gel
Nausea,Dry cough,Fever,Hangover,Cold-EEZE
Sinus pressure,Fever,Runny nose,Diarrhea,Cold-EEZE
Heartburn,Runny nose,Dizziness,Dry skin,Moisturizing lotion
